event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_best
TTQ2668,"23 February 2024",2024,2,"Political violence","Violence against civilians",Attack,"Unidentified Gang (Trinidad and Tobago)",,3,"Civilians (Trinidad and Tobago)",,7,37,"Civilian targeting",780,Caribbean,"Trinidad and Tobago","Port of Spain",,,"Port of Spain",10.6667,-61.5189,1,"Trinidad and Tobago Guardian",National,"Around 23 February 2024 (as reported), in Port of Spain, Port of Spain, an armed man entered a mechanic establishment and shot and killed two men. The attack was said to be linked to the gang-related killing of another man in Port of Spain on 20 February (coded separately). 2 fatalities.",2,,1708988329,21619
TTQ2666,"22 February 2024",2024,1,"Political violence","Violence against civilians",Attack,"Unidentified Gang (Trinidad and Tobago)",,3,"Civilians (Trinidad and Tobago)",,7,37,"Civilian targeting",780,Caribbean,"Trinidad and Tobago","Port of Spain",,,"Port of Spain",10.6667,-61.5189,1,"Loop News Trinidad and Tobago; Newsday Trinidad and Tobago; Trinidad and Tobago Guardian",National,"On 22 February 2024, in Port of Spain, Port of Spain, an unknown number of armed individuals in several moving vehicles shot at another vehicle (drive-by). A man was injured, while his daughter (present in the vehicle) escaped unharmed. Another version stated that the intended target was the driver's brother. A boy who was riding a bike on Laventille Road was killed by a stray bullet. The perpetrators fled the scene, although two of them were later arrested and one of the getaway vehicles was seized. The attack was described as gang-related. 1 fatality, 1 injured.",1,,1708988329,21619
TTQ2667,"22 February 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Trinidad and Tobago)","Labor Group (Trinidad and Tobago)",6,,,0,60,,780,Caribbean,"Trinidad and Tobago","Port of Spain",,,"Port of Spain",10.6667,-61.5189,1,"Newsday Trinidad and Tobago; Trinidad and Tobago Guardian",National,"On 22 February 2024, in Port of Spain, Port of Spain, dock workers held a protest at the Seamen and Waterfront Workers Trade Union Hall, on Wrightson Road, demanding higher wages. The protest was part of a labor strike.",0,"crowd size=no report",1708988329,5020
TTQ2671,"22 February 2024",2024,1,"Political violence","Violence against civilians",Attack,"Unidentified Gang (Trinidad and Tobago)",,3,"Civilians (Trinidad and Tobago)",,7,37,"Civilian targeting",780,Caribbean,"Trinidad and Tobago","San Juan-Laventille",,,Laventille,10.6487,-61.4897,1,"Trinidad and Tobago Guardian",National,"On 22 February 2024, in Laventille, San Juan-Laventille, two armed men entered a property and shot and killed a man. The attack was said to be linked to the gang-related killing of another man in Port of Spain on 20 February (coded separately). 1 fatality.",1,,1708988329,12078
TTQ2676,"22 February 2024",2024,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Trinidad and Tobago)",,3,"Civilians (Trinidad and Tobago)",,7,37,"Civilian targeting",780,Caribbean,"Trinidad and Tobago",Tobago,,,Scarborough,11.1823,-60.7353,1,"Newsday Trinidad and Tobago; Trinidad and Tobago Guardian",National,"On 22 February 2024, in Scarborough, Tobago, an unknown number of armed individuals in a moving vehicle opened fire on two men, injuring one (drive-by). Motivation unknown. 1 injured.",0,,1708988329,9568
TTQ2662,"21 February 2024",2024,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Trinidad and Tobago)",,3,"Civilians (Trinidad and Tobago)",,7,37,"Civilian targeting",780,Caribbean,"Trinidad and Tobago",Penal-Debe,,,"Duncan Village",10.2556,-61.4621,1,"Loop News Trinidad and Tobago; Newsday Trinidad and Tobago; Trinidad and Tobago Guardian",National,"On 21 February 2024, in Duncan Village, Penal-Debe, overnight, the occupants of a moving car shot and killed a man outside his home, on Temple Street (drive-by). Another version stated that an armed man exited the vehicle and opened fire. The perpetrators fled the scene in the vehicle. Motivation unknown. 1 fatality.",1,,1708988329,8765
TTQ2659,"20 February 2024",2024,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Trinidad and Tobago)",,3,"Civilians (Trinidad and Tobago)",,7,37,"Civilian targeting",780,Caribbean,"Trinidad and Tobago",Chaguanas,,,Cunupia,10.5573,-61.3741,1,"Newsday Trinidad and Tobago; Trinidad and Tobago Guardian",National,"On 20 February 2024, in Cunupia, Chaguanas, several armed individuals dressed in black clothing entered an apartment by force on Chin Chin Road and shot and killed a man and injured his wife. Their children were present, although they were not harmed. The perpetrators fled the scene. 1 fatality, 1 injured.",1,,1708988329,26679
TTQ2660,"20 February 2024",2024,1,"Political violence","Violence against civilians",Attack,"Unidentified Gang (Trinidad and Tobago)",,3,"Civilians (Trinidad and Tobago)","Labor Group (Trinidad and Tobago)",7,37,"Civilian targeting",780,Caribbean,"Trinidad and Tobago",Chaguanas,,,Enterprise,10.5226,-61.3856,1,"Newsday Trinidad and Tobago; Trinidad and Tobago Guardian",National,"On 20 February 2024, in Enterprise, Chaguanas, overnight, an armed man shot and killed the owner of a business establishment in Crown Trace. According to witnesses, the perpetrator arrived on a bike and waited for the victim to close his business before opening fire. Relatives believe that the motivation for the attack was the victim's refusal to pay 'taxes for protection' (extortion) to gangsters in the area. 1 fatality.",1,,1708988329,16788
TTQ2665,"20 February 2024",2024,1,"Political violence","Violence against civilians",Attack,"Unidentified Gang (Trinidad and Tobago)",,3,"Civilians (Trinidad and Tobago)",,7,37,"Civilian targeting",780,Caribbean,"Trinidad and Tobago","Port of Spain",,,"Port of Spain",10.6667,-61.5189,1,"Newsday Trinidad and Tobago; Trinidad and Tobago Guardian",National,"On 20 February 2024, in Port of Spain, Port of Spain, in the morning, two armed men exited a vehicle and shot and killed a man near the Gloster Lodge Moravian Primary School, in Belmont community. Authorities believe that the attack was gang-related. The perpetrators fled the scene in the getaway vehicle, which was later found abandoned. 1 fatality.",1,,1708988329,21619
TTQ2673,"20 February 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Trinidad and Tobago)","Labor Group (Trinidad and Tobago)",6,,,0,60,,780,Caribbean,"Trinidad and Tobago","San Juan-Laventille",,,"San Juan",10.6579,-61.4457,1,"Trinidad and Tobago Guardian",National,"On 20 February 2024, in San Juan, San Juan-Laventille, scores of workers held a protest at the Eric Williams Medical Sciences Complex demanding higher wages.",0,"crowd size=scores",1708988329,9418
